名稱,分類,緯度,經度,說明
JR宮島口站,交通,34.3122800,132.3023500,依網站目前行程與推薦清單保留
兒島站,交通,34.4627408,133.8076652,Day 5 轉乘鷲羽山夕景鑑賞巴士
千光寺山纜車・山頂站,交通,34.4104000,133.1972500,依網站目前行程與推薦清單保留
千光寺山纜車・山麓站,交通,34.4096500,133.2022000,依網站目前行程與推薦清單保留
吉備津站,交通,34.6744110,133.8460530,依網站目前行程與推薦清單保留
吳站,交通,34.2446873,132.5579745,Day 3 搭乘 JR 吳線往返廣島
姬路站,交通,34.8264050,134.6907970,依網站目前行程與推薦清單保留
宮島棧橋,交通,34.3020950,132.3222470,依網站目前行程與推薦清單保留
宮島纜車・紅葉谷站,交通,34.2892000,132.3258800,依網站目前行程與推薦清單保留
尾道站,交通,34.4039070,133.1937740,依網站目前行程與推薦清單保留
岡山桃太郎機場,交通,34.7569730,133.8538690,依網站目前行程與推薦清單保留
岡山站西口巴士總站,交通,34.6666800,133.9155500,依網站目前行程與推薦清單保留
岡山車站,交通,34.6654090,133.9178250,依網站目前行程與推薦清單保留
廣島車站,交通,34.3978260,132.4755770,依網站目前行程與推薦清單保留
三百山展望台,景點,34.4495651,133.7806563,Day 5 夕景鑑賞巴士停留點
千光寺公園・頂上展望台 PEAK,景點,34.4106860,133.1969600,依網站目前行程與推薦清單保留
原爆圓頂屋,景點,34.3954660,132.4535240,依網站目前行程與推薦清單保留
吉備津神社,景點,34.6701300,133.8502000,依網站目前行程與推薦清單保留
嚴島神社,景點,34.2965420,132.3190080,依網站目前行程與推薦清單保留
大和博物館,景點,34.2411847,132.5558799,Day 3 09:00–10:20
姬路城,景點,34.8393310,134.6940200,依網站目前行程與推薦清單保留
岡山城,景點,34.6651760,133.9360450,依網站目前行程與推薦清單保留
岡山後樂園,景點,34.6663300,133.9373950,依網站目前行程與推薦清單保留
廣島和平紀念資料館,景點,34.3915500,132.4530980,依網站目前行程與推薦清單保留
彌山山頂展望台,景點,34.2797810,132.3196570,依網站目前行程與推薦清單保留
海上自衛隊吳史料館（鐵鯨館）,景點,34.2421619,132.5553211,Day 3 10:25–11:25
紙鶴塔,景點,34.3956703,132.4546856,Day 3 15:50–16:50
貓之細道,景點,34.4105570,133.2004550,依網站目前行程與推薦清單保留
鷲羽山展望台,景點,34.4354670,133.8124637,Day 5 欣賞瀨戶內海日落
Hitorinabe Megu,餐廳,34.6663000,133.9281760,依網站目前行程與推薦清單保留
お食事處 梅山,餐廳,34.2977500,132.3203500,依網站目前行程與推薦清單保留
ごろ兵衛 岡山駅前店,餐廳,34.6648660,133.9203490,依網站目前行程與推薦清單保留
七味,餐廳,34.3902380,132.4648494,關東煮；廣島市中區藥研堀7-17
串燒處 Kanaiya,餐廳,34.3944470,132.4763080,依網站目前行程與推薦清單保留
五衛門 福屋廣島站前店,餐廳,34.3964370,132.4737420,依網站目前行程與推薦清單保留
博多雞皮大臣 廣島站西店,餐廳,34.3981800,132.4725680,依網站目前行程與推薦清單保留
吾妻壽司,餐廳,34.6654290,133.9180000,依網站目前行程與推薦清單保留
味司 野村,餐廳,34.6651860,133.9238220,依網站目前行程與推薦清單保留
增家 廣島站前荒神町店,餐廳,34.3948840,132.4774300,依網站目前行程與推薦清單保留
富々,餐廳,34.3917022,132.4661159,關東煮；廣島市中區金山町11-11
尾道拉麵 Maruboshi,餐廳,34.4076480,133.2016460,依網站目前行程與推薦清單保留
尾道拉麵 Tani,餐廳,34.4041000,133.1935500,依網站目前行程與推薦清單保留
尾道拉麵 壹番館,餐廳,34.4083340,133.2027120,依網站目前行程與推薦清單保留
燒野味 罠 狩場,餐廳,34.3980490,132.4727560,依網站目前行程與推薦清單保留
牡蠣屋,餐廳,34.2985590,132.3217050,依網站目前行程與推薦清單保留
蔥庵 紙屋町店,餐廳,34.3949330,132.4604980,依網站目前行程與推薦清單保留
長田屋,餐廳,34.3942092,132.4544681,廣島燒；廣島市中區大手町1丁目7-19
高原誠吉食堂,餐廳,34.4084320,133.2011460,依網站目前行程與推薦清單保留
尾道綠丘飯店,住宿,34.4033290,133.1928810,依網站目前行程與推薦清單保留
東橫INN 岡山站東口,住宿,34.6665000,133.9209640,依網站目前行程與推薦清單保留
東橫INN 廣島站新幹線口2號店,住宿,34.3990520,132.4793460,依網站目前行程與推薦清單保留
AEON MALL 岡山,購物,34.6620200,133.9173540,依網站目前行程與推薦清單保留
唐吉訶德 岡山站前店,購物,34.6650800,133.9195500,依網站目前行程與推薦清單保留
宮島表參道商店街,購物,34.2995560,132.3219610,依網站目前行程與推薦清單保留
尾道本通商店街／尾道老街,購物,34.4083000,133.2000500,依網站目前行程與推薦清單保留
岡山一番街,購物,34.6645840,133.9187190,依網站目前行程與推薦清單保留
廣島本通商店街,購物,34.3938200,132.4569740,依網站目前行程與推薦清單保留
晴天之國岡山館,購物,34.6651510,133.9292640,依網站目前行程與推薦清單保留
紙屋町,購物,34.3955550,132.4558730,依網站目前行程與推薦清單保留
表町商店街,購物,34.6634500,133.9294500,依網站目前行程與推薦清單保留
